2021,2022,2023
95.8,84.86666667,94.9
92,84.95416667,90.85
85.5,94.90833333,90.5
84.2,95.84166667,90.325
94,90.42083333,85.2
93.2,86.74583333,84.5
94.5,79.1375,84.85
90.7,83.40833333,80.85
94.3,91.875,91.025
90.3,86.79166667,84.5
89.7,,97.2
92,85.05416667,96.325
88.5,86.5,91.725
85,90.84583333,84.325
88.8,89.15833333,89.575
90,89.1,95.075
91.5,90.68333333,91.2
93.2,91.9375,91.9
89.8,94.43333333,98.25
82,88.2625,94.2
88.7,94.73333333,95.575
79.7,95.34583333,91.025
93,93.48333333,91.525
89.3,90.5375,90.5
95.2,97.22916667,92.075
83.3,88.42083333,94.975
92,91.4125,95.675
79.5,95.17083333,82.325
88.2,90.15833333,85.525
74.5,83.7875,90.425
80.3,96.96666667,
,81.20833333,
,78.2625,